chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,mfcc,rmse,zero_crossing_rate,label
0.3115422,3280.404070951091,3684.3950679669592,7713.7079579647625,-3.6616116,0.18384469,0.054642183874709975,tzita
0.3256507,3403.020512564191,3741.7000880861187,7944.378024851363,-3.0340383,0.16742238,0.05998382214327146,tzita
0.28741142,3352.016390819408,3740.2965837887905,8021.018242006236,-3.6904333,0.23284854,0.0540020936049884,tzita
0.26778072,3374.783975941176,3733.9191619384246,8028.912084451131,-4.2829075,0.21540323,0.05458497226653132,tzita
0.3248915,2826.7518978070498,3347.8396713654865,6533.353687826276,-4.1899505,0.15835908,0.045599351073085846,tzita
0.36716524,2096.624472386375,2820.228516737535,4746.622419246664,-5.310149,0.11904304,0.034412499093677495,tzita
0.22524402,1098.9503654426228,1745.619798265168,1580.5171249637472,-8.777694,0.092696756,0.024623083127900233,tzita
0.20367257,1227.0451774767864,1851.2913484341075,1758.2035215160963,-8.468296,0.1007079,0.029518357562354988,tzita
0.21281531,1179.0793942015853,1812.5188148413642,1730.1254237057715,-8.86444,0.09470114,0.02712509969547564,tzita
0.2091628,1167.9059443538015,1803.6606398562444,1705.8193835194315,-9.0438385,0.09374644,0.026440826203596286,tzita
0.20993823,1150.3866581876,1806.8662317496871,1724.9294767800175,-9.144167,0.089635506,0.02519180050029002,tzita
0.22158277,1194.2627932468,1825.25774429648,1807.789841937355,-8.868821,0.0836831,0.026658910056554526,tzita
0.20940426,1068.4018577321117,1728.7657482981008,1569.1759715777262,-9.02,0.09376499,0.023124252283932716,tzita
0.20362024,1089.9693801025915,1785.5558183951273,1576.8949504241589,-9.253447,0.09728944,0.023203555503190254,tzita
0.19247869,1042.3267510536216,1103.9794516949833,1727.6651136687572,-15.4752865,0.15294994,0.02580986762400228,anchihoye
0.21352363,1067.1637790785396,1137.461768044573,1785.1894233062976,-12.9297695,0.20126395,0.029465670154034895,anchihoye
0.21038887,1048.0897060443026,1142.6284212006099,1705.5756753177966,-14.199992,0.21932524,0.02519200211864407,anchihoye
0.19113311,1313.719106802106,1269.4371874543922,1965.5615846814424,-10.965962,0.21100982,0.0406704318700114,anchihoye
0.21601743,1175.0337573889094,1229.952754328692,1902.7701935553632,-11.076072,0.2639446,0.02712129199106113,anchihoye
0.21826917,1180.133433102326,1226.241232105223,1867.4713378349486,-11.101629,0.25921834,0.028227333060148234,anchihoye
0.20628457,1260.4070621258788,1245.6191828496426,1933.3926361386139,-10.86365,0.24173053,0.036135498315456545,anchihoye
0.20114252,1203.1457823203457,1216.070030888314,1859.2276162987541,-10.242598,0.2732489,0.032014427309046585,anchihoye
0.2127441,1195.2297399137055,1233.4922664575347,1859.300847457627,-12.009334,0.24609455,0.029902123057909603,anchihoye
0.2147146,1204.8214304696844,1220.5214109234091,1881.0438782204199,-11.846469,0.20903341,0.0324709693634133,anchihoye
0.21403277,1081.9223546301534,1170.4586274776777,1813.3373298267327,-10.740598,0.20477769,0.028977262960671067,anchihoye
0.20143998,1079.824491708405,1145.7628720076966,1737.3323735502577,-14.027045,0.1866569,0.025809551295819015,anchihoye
0.1990257,1090.0873341474553,1156.2507190303693,1810.2577738242574,-15.590695,0.15447535,0.027087523205445545,anchihoye
0.2135438,1067.0081468724136,1127.6045077357198,1780.6338710639313,-12.822593,0.20819135,0.0294720598759542,anchihoye
0.21102488,1056.5850733848981,1120.2363389506559,1773.0473749466723,-12.1380005,0.22488414,0.029907365436575656,anchihoye
0.20687181,1085.8266218925864,1127.564629253995,1770.7309146402733,-14.381233,0.21999401,0.027144878751339765,anchihoye
0.46009755,2061.2242958643365,2599.2111896548286,4355.566238070465,0.43332848,0.105856486,0.04105654868685419,bati
0.3464348,1995.96983658518,2562.076258994125,4023.223127152698,0.44477648,0.12824687,0.03852993147244547,bati
0.37118888,1946.519419992985,2519.9060999810467,4034.311768942039,1.1481096,0.12662156,0.03646833537011173,bati
0.39567563,1955.4820410215407,2564.871777781909,4043.495488303674,0.689088,0.12517129,0.03696698299368542,bati
0.38554025,1932.2786890248447,2584.5727596016363,4091.064176007378,1.3870841,0.13281818,0.03427612443246311,bati
0.36489314,1941.298194516241,2573.2510627702186,4100.887072045649,0.52465034,0.13392287,0.03519346825227531,bati
0.42431685,1824.7626681800489,2512.077557100144,3850.81895884901,1.742145,0.12959096,0.031098520008250825,bati
0.45806792,1711.1924351582172,2425.4251678612245,3545.5414369686505,1.7524041,0.12666956,0.028604667574388946,bati
0.44701234,1719.0740665545984,2433.3593362978777,3561.917704814189,1.7114466,0.12538375,0.02893897804054054,bati
0.46266645,1766.610556707659,2442.4552553125613,3640.6685315148306,1.712624,0.12364597,0.02986184675141243,bati
0.457929,1870.329767755875,2532.0493620219863,3938.1963067049683,1.4619673,0.118744165,0.03366546144394261,bati
0.4275828,1989.3814184570303,2589.915635645158,4240.491188573474,1.0942233,0.115003146,0.03774355490049073,bati
0.40958613,2003.0813270265971,2564.4427878793713,4201.604618916985,1.0139489,0.11915003,0.03825633008451472,bati
0.3798723,2022.8350742797786,2591.820197053457,4256.134583006699,0.45075065,0.12470099,0.03930747576966933,bati
0.38395628,1914.346659620855,2572.785805992763,4061.189804813103,1.4365703,0.13404596,0.034360241659967844,bati
0.38671944,2051.1206251766152,2685.353344948526,4506.577766444555,0.79118186,0.13201134,0.03646464331527936,bati
0.41412637,1995.1608043059673,2634.1697097957654,4242.829690101276,1.697143,0.12817939,0.03704217536071032,bati
0.43588158,1888.9657088171264,2583.988988902881,4047.6582362288136,2.1293619,0.13011648,0.032957605049435026,bati
0.44582027,1863.7389968963566,2577.8507870166404,4037.440515574104,2.0541627,0.12928535,0.03264009059446254,bati
0.47443283,1744.5935117067672,2499.1994461247555,3675.2537983425414,2.0561376,0.12377847,0.030072729627071824,bati
0.42792296,1910.8169051393315,2597.8221800967412,4082.2985853392065,1.9462273,0.121748306,0.03517955310072142,bati
0.43067682,1869.543560149226,2573.6010822619323,3972.397188123575,1.9738665,0.12750988,0.03380999679304447,bati
0.46484968,1963.482345072306,2657.021402923094,4291.638587247006,2.202496,0.13053308,0.03469135280074116,bati
0.47895518,1984.3066056302016,2661.2598241281944,4254.463139166887,2.116632,0.12506463,0.03407250381097561,bati
0.46296498,1878.8737302939653,2582.3464226072347,4017.2110958614867,1.9641795,0.12600002,0.03302153716216216,bati
0.4617257,1845.5652077401014,2556.4198838703687,3889.737148139313,2.0714417,0.1290587,0.032004519663304254,bati
0.41748148,1507.5524376688616,2458.5664687664253,2960.09765625,0.4285371,0.1136902,0.025404969985875707,bati
0.46905047,1541.892737743987,2654.13271555709,3085.7827591335385,2.7190108,0.12676822,0.02179166958286674,bati
0.46952513,1696.725624795146,2813.496734823879,3624.648729011194,1.9283674,0.12037388,0.023453196756601607,bati
0.4891813,1761.726675705122,2838.3587254761783,3796.8810683975835,3.0393105,0.12816535,0.02485907832278481,bati
0.4365832,1559.964534203674,2640.3142277151846,3097.785753100057,3.0578194,0.13636072,0.024020430979190422,bati
0.43774667,1584.7243945476348,2639.7584585659392,3183.841374398358,2.9545832,0.13751537,0.024002092475934315,bati
0.43720728,1515.9224790851686,2551.8261823088224,2956.636824324324,2.4208674,0.13334888,0.022813555743243244,bati
0.43999597,1650.8959339160458,2692.2977547615696,3420.4683027194656,2.8229253,0.1383972,0.02357381406761178,bati
0.45857617,1565.5338578646824,2597.174033878765,3098.8415429910206,3.0450919,0.13801815,0.023696951610604332,bati
0.4406843,1586.9693182672643,2604.9252122176795,3117.306194734727,3.048754,0.1377572,0.024558505827974277,bati
0.42165387,1632.6458306280153,2708.999903464526,3303.8424350247524,2.669602,0.13297558,0.025250425433168317,bati
0.4167085,1632.6307383116434,2632.8513032273254,3223.8247032292825,1.7534403,0.124714054,0.028292069313125695,bati
0.44339466,1609.2899093320036,2661.648964056698,3200.735587141339,2.340044,0.12861969,0.02513377142003188,bati
0.4184879,1504.8973267819576,2519.213521498451,2890.684463954208,2.2842631,0.14517361,0.0237141389920242,bati
0.43689737,1562.5286341039393,2557.3997747763365,3035.6046523311898,2.409811,0.13833512,0.024699809083601285,bati
0.4532423,1618.701995320158,2633.0887289134057,3207.270209505627,2.6953392,0.13078858,0.025689978563772777,bati
